K562	rank_K562	MCF7	rank_MCF7	NCIH2030	rank_NCIH2030	LPS141	rank_LPS141	SKMEL2	rank_SKMEL2
CFH	17695	RNPEPL1	17695	SARAF	17695	GATA5	17695	ZNF746	17695
CCDC50	17696	CLDND2	17696	PPIH	17696	PSORS1C2	17696	LAMB3	17696
CARD14	17697	TIE1	17697	SLC4A2	17697	IGFL1	17697	GIMD1	17697
LIFR	17698	RD3	17698	DEFB119	17698	KCTD17	17698	ARHGAP8	17698
UNC13A	17699	PTPRN2	17699	MYO5B	17699	PSTPIP1	17699	MAP6D1	17699
TP53TG3B	17700	OR10G4	17700	C7orf61	17700	OTUB2	17700	FAM166B	17700
SARAF	17701	TRIM10	17701	TNFRSF1A	17701	CDCA7L	17701	KCNE4	17701
FUNDC1	17702	RTN4R	17702	SH3KBP1	17702	DNAH6	17702	HSF4	17702
SAMD7	17703	CSDC2	17703	GATA5	17703	ZNF677	17703	IVL	17703
ZNF559	17704	STBD1	17704	TSPYL4	17704	GJA3	17704	WBSCR28	17704
BIRC3	17705	WIZ	17705	BMP1	17705	ECE2	17705	SEZ6L2	17705
OTUD1	17706	MTHFS	17706	LHX3	17706	FUT3	17706	NDUFS4	17706
TRIM3	17707	NUDT16	17707	IL13	17707	ZFP41	17707	OR5D13	17707
UGT8	17708	FAM114A1	17708	LURAP1L	17708	LY6G6D	17708	SH3BGRL	17708
PTGS1	17709	XG	17709	MPL	17709	RAB8B	17709	ZNRF4	17709
GRIK4	17710	CC2D1A	17710	ADIPOR2	17710	ZNRF1	17710	PABPC4	17710
CLMN	17711	TLE3	17711	GMNC	17711	ABO	17711	ARMCX2	17711
WLS	17712	IFNL3	17712	CIC	17712	CDX4	17712	HYI	17712
LARGE	17713	CCDC166	17713	LHFPL1	17713	CCER2	17713	FERMT3	17713
CDRT4	17714	B3GALNT1	17714	RNF144A	17714	SIGLEC8	17714	SRGAP1	17714
CHRM3	17715	ANXA6	17715	CASP5	17715	CRYBB2	17715	C15orf52	17715
PIGL	17716	ATF2	17716	RGS20	17716	APBA3	17716	TUB	17716
SIRPG	17717	ZNF660	17717	CYB5D1	17717	SLC35G4	17717	MAGT1	17717
GNG12	17718	RNF175	17718	SLC44A1	17718	ATOH8	17718	ZNF718	17718
TSKS	17719	FAM159A	17719	SLC25A37	17719	CHRNB4	17719	RASL10B	17719
BRINP1	17720	FRMD4A	17720	C18orf42	17720	TRIM42	17720	KIAA1045	17720
SPRR2D	17721	MAP7D2	17721	MAF1	17721	FAM71B	17721	GPR149	17721
CCBE1	17722	ZRANB3	17722	EN2	17722	BEND4	17722	ALKBH4	17722
CD2	17723	AOC3	17723	FOXP4	17723	CT47A7	17723	ACOT4	17723
HR	17724	GPRIN2	17724	KIAA1468	17724	SMIM8	17724	OR6S1	17724
ZNF500	17725	TNFRSF12A	17725	C22orf42	17725	KCNAB3	17725	SRGAP3	17725
GLS	17726	SMCP	17726	PLEKHN1	17726	DMWD	17726	FCN2	17726
NYAP2	17727	ZNF547	17727	PANX1	17727	DMRTA1	17727	PRAMEF19	17727
SCIN	17728	ZBTB40	17728	OR8D2	17728	EIF4EBP1	17728	ARFGAP3	17728
GALNT7	17729	TPPP	17729	DUSP5	17729	MESP1	17729	EPB41L4A	17729
CDKN1C	17730	DMRTA1	17730	LAMB3	17730	GPD1	17730	TPD52L3	17730
FPGT	17731	FGFBP2	17731	OR9Q1	17731	TSPO	17731	ACAD8	17731
C7orf61	17732	NRN1	17732	NSUN5	17732	MFSD12	17732	TSNAXIP1	17732
PIK3C2B	17733	ITGB2	17733	SDCBP2	17733	IRF9	17733	FERD3L	17733
TMEM229B	17734	ELN	17734	SLC9A3R1	17734	SLC46A1	17734	EBI3	17734
LOXL4	17735	CCDC151	17735	CKMT1A	17735	TMPRSS7	17735	KISS1	17735
CSPG4	17736	OR51Q1	17736	RBMY1E	17736	FERD3L	17736	PRL	17736
ESX1	17737	HLA-DQB1	17737	STX1B	17737	TMEM64	17737	DEDD2	17737
ZC3HAV1L	17738	PDE4B	17738	PROZ	17738	PNMT	17738	TRDMT1	17738
TCF20	17739	FBN3	17739	NPRL2	17739	RTP3	17739	ACTN4	17739
NIT1	17740	C11orf71	17740	PTEN	17740	C2orf91	17740	FAM160B1	17740
PEAR1	17741	CLCN7	17741	DCAF4L1	17741	SLC25A38	17741	LRP1B	17741
DNMT3L	17742	SLC25A20	17742	RSBN1	17742	CTAG2	17742	LOC728485	17742
OR51T1	17743	KLHDC7B	17743	CDY1	17743	ARSH	17743	OR14I1	17743
SOX7	17744	RASIP1	17744	SH3RF1	17744	PEG10	17744	C9orf163	17744
GPR78	17745	KIF26B	17745	UNK	17745	EEF1D	17745	CCDC60	17745
GALR1	17746	SYNPO2	17746	BCL6	17746	CDH23	17746	ADAMTS16	17746
SYAP1	17747	ASRGL1	17747	IGFL4	17747	C11orf53	17747	ENPP4	17747
POU3F2	17748	KLHL6	17748	UTF1	17748	USP2	17748	ZBTB25	17748
NDRG1	17749	KRTAP26-1	17749	SLC38A8	17749	IL11	17749	FBXL6	17749
HLA-C	17750	FAM132B	17750	IL13RA1	17750	LOC389895	17750	ARHGAP33	17750
THYN1	17751	SLC13A5	17751	PFKFB2	17751	CORO1A	17751	PCSK1N	17751
FAM83F	17752	CNPPD1	17752	CREBBP	17752	ENTPD6	17752	CT62	17752
LY86	17753	PDZD2	17753	SPINK1	17753	TTC22	17753	AP2A2	17753
CYTH2	17754	KRTAP24-1	17754	STAMBPL1	17754	SLC22A1	17754	RNF17	17754
CD40	17755	SLC17A7	17755	CPXM2	17755	ITGAE	17755	MFRP	17755
LRRC59	17756	KCNA1	17756	C3orf30	17756	ZNF607	17756	IL1R2	17756
PHLDB1	17757	DHRS7B	17757	C7orf33	17757	CYLD	17757	OR11H4	17757
SMOC1	17758	ITGB1BP2	17758	TMEM190	17758	ZSCAN10	17758	ATG7	17758
NATD1	17759	FAM166A	17759	TIMM8B	17759	CEL	17759	TBATA	17759
ZNF419	17760	CHKB	17760	FSIP1	17760	B3GALNT1	17760	TGM6	17760
SIAE	17761	LIFR	17761	TBX6	17761	SBSN	17761	NMT2	17761
CYB5R3	17762	CLDN16	17762	NT5M	17762	LRRC32	17762	PRRT3	17762
LIPF	17763	CPZ	17763	LCE3A	17763	FXYD2	17763	PVRL2	17763
EIF4EBP1	17764	KIAA0319L	17764	NEURL2	17764	UBR1	17764	ZP4	17764
DEFA1B	17765	KRTAP9-3	17765	TMPRSS13	17765	KLHL36	17765	DLX2	17765
PRKD3	17766	MIOX	17766	POLE4	17766	TBL1X	17766	SAYSD1	17766
TMEM102	17767	HBA2	17767	FFAR4	17767	SPRY3	17767	ZNF708	17767
CCSAP	17768	CBR1	17768	IRS4	17768	TNFSF14	17768	ZNF253	17768
NOX1	17769	CALML5	17769	MAMDC4	17769	KRTAP22-2	17769	AQP12B	17769
CD207	17770	MDFI	17770	C15orf62	17770	JPH4	17770	TET3	17770
FTMT	17771	TBX19	17771	FGF18	17771	ESRRG	17771	VSIG10	17771
TRIM32	17772	TTC21A	17772	PDE10A	17772	MID1IP1	17772	C17orf77	17772
NIN	17773	SGCE	17773	PYDC1	17773	ABI3	17773	MFSD2A	17773
ADGRB2	17774	TRIB3	17774	HSPA4L	17774	KRTAP21-3	17774	METTL2B	17774
MYH9	17775	PROM2	17775	TMEM98	17775	NEURL2	17775	GABRB3	17775
HKR1	17776	RERG	17776	AMH	17776	IZUMO1R	17776	RNF220	17776
LMO1	17777	GADL1	17777	MTF2	17777	SGCZ	17777	ZGLP1	17777
NHLH2	17778	NCK1	17778	ASB7	17778	HDGFL1	17778	PRR18	17778
FAM160B2	17779	ITLN1	17779	PORCN	17779	MORF4L2	17779	KRTAP5-1	17779
DUSP7	17780	ARMS2	17780	SEMA4G	17780	UCN2	17780	LRP2	17780
CUX1	17781	SLC6A16	17781	TBATA	17781	C17orf97	17781	SSTR1	17781
CHPF2	17782	SYAP1	17782	SP5	17782	PRPS1	17782	B3GAT2	17782
C11orf24	17783	DTX3	17783	ADAM28	17783	NR1D1	17783	WASF2	17783
MS4A14	17784	TSPY10	17784	ZNF181	17784	FUT1	17784	ACPP	17784
IL32	17785	COL22A1	17785	PRR23A	17785	NID2	17785	TMOD4	17785
CNN2	17786	GNPDA1	17786	EPB41L4A	17786	MID1	17786	C17orf97	17786
IQSEC3	17787	GPR88	17787	GPR83	17787	TMEM150B	17787	TFCP2L1	17787
CUEDC1	17788	PMM1	17788	KLRC3	17788	C14orf119	17788	GJD4	17788
HDDC3	17789	LOC728392	17789	PMM1	17789	STK32C	17789	KRTAP1-1	17789
ID1	17790	MFAP4	17790	ABHD13	17790	ZNRF4	17790	DACT2	17790
GREM2	17791	OR10A3	17791	ECM2	17791	RGCC	17791	NFATC3	17791
GPR132	17792	ADRB1	17792	PANX3	17792	ZNF501	17792	EDA	17792
ABCF3	17793	CSNK1G2	17793	SGSM1	17793	IGFBP2	17793	INHA	17793
OR4X1	17794	LOXL2	17794	RASSF9	17794	ADAMTS16	17794	KAT2B	17794
KRTAP19-2	17795	KRTAP13-2	17795	DNMT3A	17795	KRT83	17795	PEX11A	17795
NKX2-8	17796	ZNF790	17796	JMJD8	17796	NRIP3	17796	N4BP2L1	17796
OTUD6B	17797	IL18R1	17797	BIK	17797	KLF1	17797	WNT9A	17797
IRG1	17798	KCNH4	17798	PRCP	17798	RNF128	17798	ZNF514	17798
RAX2	17799	DEFA6	17799	PRAMEF2	17799	CCM2L	17799	SH3GLB1	17799
NEIL1	17800	MAN2B2	17800	OVOL1	17800	DHX57	17800	PLGRKT	17800
VRK2	17801	GSTK1	17801	STRA6	17801	TLE3	17801	PITPNM3	17801
PLEKHH3	17802	STK16	17802	RALGAPA1	17802	IGSF9	17802	NT5C1B-RDH14	17802
DCUN1D2	17803	AJUBA	17803	CPZ	17803	GAD2	17803	CAPS	17803
IL1RAPL1	17804	SPNS3	17804	FAM196A	17804	CDC42EP3	17804	TMEM109	17804
TEP1	17805	OSBP2	17805	DGCR6L	17805	LPAR2	17805	CBFB	17805
GNG13	17806	DND1	17806	LY6G6C	17806	TMEM43	17806	ESRRB	17806
KCNJ14	17807	PARP4	17807	EFCC1	17807	LZTS2	17807	MPV17L2	17807
TMED3	17808	PNPLA4	17808	ACAD8	17808	MPG	17808	WBP1	17808
CFAP44	17809	HS6ST2	17809	TRIM63	17809	CCR8	17809	PLEKHG1	17809
DEFB104B	17810	OXSR1	17810	MYLK2	17810	SLC26A1	17810	KRTAP21-3	17810
CCNYL1	17811	ARSD	17811	PLIN3	17811	FSCN1	17811	RASSF9	17811
PDLIM1	17812	SDCBP2	17812	AWAT2	17812	UNC79	17812	OR5M11	17812
PTPRM	17813	ACBD5	17813	PCGF6	17813	CHST5	17813	CEP128	17813
R3HCC1L	17814	KIF27	17814	PDZD4	17814	PRR5L	17814	AIF1	17814
WNT3A	17815	CLIC6	17815	BAZ1A	17815	OR2J3	17815	C2orf91	17815
SERTAD4	17816	HECTD4	17816	TUBB3	17816	PRELP	17816	PPM1F	17816
C6orf120	17817	SELM	17817	NR1H2	17817	MAGED4B	17817	EPS8L2	17817
PPP2R2C	17818	SLC4A11	17818	ZNF816	17818	PSIP1	17818	FAM19A5	17818
LAIR1	17819	EPHA2	17819	QSER1	17819	P3H4	17819	RNF32	17819
ZNF124	17820	CKLF-CMTM1	17820	PPM1H	17820	NEK8	17820	ZNF557	17820
ASMT	17821	TBC1D10A	17821	ZNF646	17821	GPR153	17821	C19orf25	17821
ARHGAP28	17822	MAPK8IP3	17822	GPC1	17822	GREM2	17822	TSPAN9	17822
F7	17823	ADIRF	17823	MRGPRX3	17823	SYCN	17823	ACE2	17823
CLDN9	17824	KDM2B	17824	EGFL7	17824	SEPTIN12	17824	PAPD7	17824
TMEM151A	17825	ZNF502	17825	TGFBR1	17825	TMSB4Y	17825	DAZ3	17825
RBP4	17826	C11orf53	17826	FCN1	17826	SCGB2B2	17826	RNF19B	17826
SPATA8	17827	BTBD17	17827	TRAPPC6A	17827	ODF4	17827	SLC25A27	17827
KCTD17	17828	LRRC74B	17828	DMWD	17828	NGFRAP1	17828	RBMXL3	17828
RNASET2	17829	TRIM2	17829	POLB	17829	HABP4	17829	SSH1	17829
BCL2L14	17830	DMRTA2	17830	AMT	17830	B3GNT9	17830	ZAR1	17830
ZNF883	17831	MAPK3	17831	SPG20	17831	BEGAIN	17831	CSF2RB	17831
SMIM8	17832	RIPPLY1	17832	TMEM38B	17832	COX4I2	17832	OR1E2	17832
CREG1	17833	LMAN2L	17833	SIAH2	17833	PRRT3	17833	ZNF107	17833
CTHRC1	17834	PPARA	17834	SOCS4	17834	DCDC5	17834	TRIB3	17834
FBXL19	17835	THSD7B	17835	ZSCAN16	17835	CACNA1G	17835	FGFBP2	17835
AGR3	17836	RGS3	17836	SLC16A8	17836	PAGR1	17836	RNF128	17836
TRANK1	17837	LSP1	17837	FAM216A	17837	MTHFD1	17837	SOAT2	17837
NCKIPSD	17838	FAM24A	17838	CMC2	17838	CTRB1	17838	BTN2A1	17838
ERI1	17839	SLC6A12	17839	GRIK5	17839	KCNA3	17839	ZNF696	17839
GPER1	17840	TMX4	17840	OR10S1	17840	ZNF181	17840	OSBPL2	17840
S100A4	17841	KRT81	17841	ABCG8	17841	RNF207	17841	OR2W1	17841
ZNF718	17842	POU3F1	17842	IGSF8	17842	RARRES1	17842	SH2D3A	17842
FN1	17843	JPH1	17843	COX8C	17843	CRIP2	17843	RNF115	17843
PPM1M	17844	SS18	17844	C1orf189	17844	OR3A2	17844	SELO	17844
NECAP1	17845	LMO2	17845	IQSEC3	17845	TUBAL3	17845	OSBP2	17845
IZUMO1R	17846	EPHX2	17846	DOK7	17846	CDK5	17846	LRRC75A	17846
SFT2D3	17847	MAGT1	17847	ZFP14	17847	SEC23B	17847	HIST1H3H	17847
SLC13A5	17848	GSC2	17848	RNF186	17848	NDP	17848	PPP1R3G	17848
IRF3	17849	TSPAN4	17849	RAB11B	17849	PSAPL1	17849	ZNF726	17849
FGF20	17850	C21orf140	17850	RAI2	17850	OR2A12	17850	WEE2	17850
TMEM80	17851	IRF7	17851	SEMA3B	17851	RFPL4AL1	17851	PRDX6	17851
C4orf22	17852	UCN2	17852	ZNF843	17852	SMIM13	17852	FAM83E	17852
ITIH4	17853	NR1I3	17853	CDIP1	17853	NLN	17853	ALDH1B1	17853
ABCG8	17854	SERTAD1	17854	LY6G6D	17854	ALPK1	17854	RUNDC1	17854
NRCAM	17855	NUDT19	17855	NR2F1	17855	FKBP11	17855	LHX8	17855
SLC25A14	17856	CDH3	17856	NR5A2	17856	LRP3	17856	PROSC	17856
SERPINB6	17857	CSF3	17857	DISP2	17857	TAGLN3	17857	PGRMC1	17857
PDZD7	17858	ST6GALNAC3	17858	LENG9	17858	ACRBP	17858	FOLR2	17858
LMOD2	17859	OASL	17859	EHD2	17859	KRTAP23-1	17859	USP17L12	17859
C8B	17860	ELFN1	17860	PTF1A	17860	FBXO27	17860	OSR2	17860
C10orf76	17861	MROH2A	17861	TYSND1	17861	HSD17B8	17861	ZNF547	17861
SH2B3	17862	ZDHHC8	17862	NXPH4	17862	DDR1	17862	C1orf95	17862
GCH1	17863	DLX3	17863	F8	17863	PLAT	17863	ACKR4	17863
PCP4	17864	KIR3DL1	17864	EPYC	17864	TMEM189-UBE2V1	17864	CT47B1	17864
ARFGEF3	17865	RNF224	17865	ERICH4	17865	C9orf40	17865	GMPR2	17865
TTC32	17866	CAV2	17866	ESAM	17866	MYOM1	17866	SERINC4	17866
DLGAP2	17867	SLC35G4	17867	ELANE	17867	TSPY4	17867	RASAL2	17867
CDK2AP2	17868	ARHGEF6	17868	TMEM247	17868	TNFRSF6B	17868	CECR5	17868
SMKR1	17869	SYNM	17869	FOXK2	17869	NAP1L3	17869	COL14A1	17869
PRKAB1	17870	PPIF	17870	GLYATL3	17870	ALPP	17870	TARBP2	17870
OR56B4	17871	KIF7	17871	DNTT	17871	NLGN3	17871	COL5A2	17871
AXIN1	17872	ZNF30	17872	FAM69C	17872	PNMAL2	17872	MYOZ1	17872
SLC4A4	17873	SYTL5	17873	DCLRE1A	17873	AKAP3	17873	UMODL1	17873
SIGLEC15	17874	HKDC1	17874	CD79A	17874	IRS1	17874	C9orf66	17874
CCDC85C	17875	FAT3	17875	STMN4	17875	LRRC17	17875	NME4	17875
COCH	17876	HEPN1	17876	AKAP14	17876	TMEM50A	17876	FAM84B	17876
MIB2	17877	TMEM179	17877	LRP10	17877	TSPY8	17877	DCLK2	17877
SLITRK3	17878	GPR35	17878	C3orf22	17878	KCNJ18	17878	CXorf40A	17878
LGALS14	17879	TRPM6	17879	AMOT	17879	TIRAP	17879	ZNF831	17879
ZBTB24	17880	RASSF7	17880	PARVA	17880	IQCD	17880	OR10A2	17880
IGF1R	17881	ASCL2	17881	TACSTD2	17881	RASSF1	17881	BDKRB1	17881
VWCE	17882	UBE2QL1	17882	ACBD5	17882	C19orf26	17882	RAP1GAP2	17882
ETFA	17883	RGP1	17883	PAPPA2	17883	C15orf56	17883	ODF3	17883
RSPO4	17884	OR51M1	17884	TIMD4	17884	TMEM170A	17884	PLA2G3	17884
ADCK1	17885	TCP10L2	17885	FAM78B	17885	PNMA2	17885	ASB2	17885
WDR90	17886	DEFB133	17886	ADRA2A	17886	SLCO4A1	17886	CCR5	17886
SERPINF1	17887	NQO2	17887	TFDP3	17887	C3orf80	17887	MTERF1	17887
C21orf62	17888	RAX2	17888	KLK10	17888	CCDC91	17888	ANKRD50	17888
ECHDC2	17889	KRT79	17889	TGFBI	17889	SCX	17889	C14orf142	17889
OR8K3	17890	CDRT4	17890	SSR4	17890	C11orf87	17890	AIMP1	17890
NEU3	17891	CELF4	17891	PTPRD	17891	CIT	17891	SIGIRR	17891
LAMA5	17892	TTC9B	17892	FLT3LG	17892	HERC6	17892	PRR20B	17892
SLC13A4	17893	PATL1	17893	HOXC6	17893	ZNF550	17893	TAF1L	17893
UNC13B	17894	DAZ1	17894	SLC39A1	17894	FAM65C	17894	PRR35	17894
SLC4A3	17895	GJB4	17895	PAPOLG	17895	SORCS3	17895	CSTF2	17895
SOCS3	17896	PHPT1	17896	OLIG1	17896	CHTOP	17896	PNCK	17896
KBTBD6	17897	MAGEH1	17897	VCX3A	17897	CT47A12	17897	GLUL	17897
TLX3	17898	ZDHHC18	17898	IL17A	17898	LOC101927322	17898	ARX	17898
ARSH	17899	ATP6AP1L	17899	LRP3	17899	LOC283710	17899	UBA7	17899
RTP3	17900	ATP6V1E2	17900	PCDH1	17900	KANK3	17900	TREML1	17900
FANCC	17901	CEBPD	17901	CCDC85C	17901	SEC11C	17901	CYP2S1	17901
SLC30A2	17902	CFAP126	17902	RING1	17902	CHSY3	17902	OTUD6A	17902
C16orf74	17903	RC3H2	17903	MTCL1	17903	KRTAP10-10	17903	ETHE1	17903
FAM120A	17904	DEPDC1	17904	HOXB7	17904	SLC13A1	17904	C1QTNF3	17904
ATP4A	17905	C9orf47	17905	WNK3	17905	PAWR	17905	SHC4	17905
RBMY1E	17906	CAPNS1	17906	EMX2	17906	CTNNA3	17906	KLRF1	17906
ZNF816	17907	ESPNL	17907	SEC11C	17907	MAGEB5	17907	MAPK8IP1	17907
DEPDC5	17908	PIP4K2B	17908	ELAVL4	17908	FRMPD4	17908	MRI1	17908
SPATA33	17909	FUT4	17909	NOMO2	17909	SMTNL2	17909	SAMD12	17909
GRPR	17910	RTP2	17910	HRK	17910	ARFGEF3	17910	SIGLEC7	17910
GBX2	17911	CXCR6	17911	CD164	17911	LAMC2	17911	CALD1	17911
CHPT1	17912	ABCG4	17912	PAGE1	17912	ZNF8	17912	DUSP28	17912
NKX2-6	17913	BMP15	17913	PRM2	17913	TCL1A	17913	CCSAP	17913
NAT14	17914	TAF1L	17914	ITPKA	17914	SEC22C	17914	TEX28	17914
CACNG8	17915	MDFIC	17915	LCE2B	17915	CDKN1C	17915	OR52L1	17915
LTA	17916	WSCD2	17916	COLCA1	17916	GIMAP7	17916	TRIM11	17916
C10orf91	17917	ABHD16B	17917	ADCY9	17917	BAG4	17917	ICAM5	17917
C19orf71	17918	PAWR	17918	ATP1A4	17918	RGL3	17918	SLC41A1	17918
GRIFIN	17919	SAP25	17919	NLGN2	17919	ZNF17	17919	SOHLH1	17919
AVP	17920	GRIFIN	17920	TNFRSF21	17920	HRK	17920	FNDC5	17920
CNTNAP3B	17921	MICU3	17921	DLGAP2	17921	URAD	17921	FAM168B	17921
EGFL7	17922	SAPCD2	17922	EXOC3L2	17922	STMN4	17922	RELB	17922
SLC9A8	17923	FRAT1	17923	TNFSF14	17923	GDI1	17923	OR5L2	17923
FN3K	17924	SALL1	17924	ALPPL2	17924	C17orf50	17924	KCTD17	17924
FXYD4	17925	CCL14	17925	EFHB	17925	OXTR	17925	SNX33	17925
ETV6	17926	KRTAP2-4	17926	HABP4	17926	PDCD2L	17926	C1orf234	17926
RAPGEF5	17927	ZDHHC21	17927	MYH4	17927	GRAMD1B	17927	EDEM3	17927
BPIFB2	17928	ZBTB16	17928	PARP16	17928	LCE3B	17928	IFNA2	17928
C12orf43	17929	TGFBI	17929	DNASE2	17929	HIVEP3	17929	ALOX15	17929
KRTAP12-2	17930	SLC2A3	17930	TRAF3IP3	17930	HOXA11	17930	MAP3K10	17930
KCNJ5	17931	PGRMC1	17931	ZNF48	17931	LCE3C	17931	SLC14A1	17931
MFSD6	17932	AIM1L	17932	CBFA2T2	17932	SLC39A14	17932	LMO4	17932
CD151	17933	ODF2	17933	GRXCR2	17933	L1CAM	17933	FAM9C	17933
ARIH2	17934	FAM162B	17934	LRRC32	17934	CHIC1	17934	OR2L2	17934
PPAPDC1A	17935	ANGPTL7	17935	HSBP1L1	17935	TMEM121	17935	C17orf51	17935
SYN1	17936	BCL2	17936	POMC	17936	SPHKAP	17936	LPXN	17936
PLEC	17937	PGBD1	17937	C3	17937	WIZ	17937	NPTXR	17937
COL5A1	17938	CCDC79	17938	MLLT1	17938	ANKRD26	17938	EPB41L5	17938
SNAI2	17939	DSC3	17939	PPARD	17939	TMEM81	17939	AREG	17939
MGP	17940	BNIP3L	17940	ATP2A1	17940	C9orf62	17940	EFCC1	17940
SIPA1L3	17941	TSSC4	17941	TTC22	17941	DDO	17941	c-JUN	17941
MYT1	17942	FAHD2A	17942	RBP1	17942	TPBG	17942	SYN1	17942
ARHGEF19	17943	CYB5R3	17943	C1orf122	17943	NOXA1	17943	EBF3	17943
TBL1X	17944	RCBTB2	17944	TRIL	17944	TBC1D24	17944	HGF	17944
COL4A1	17945	HAGH	17945	STXBP1	17945	CHD9	17945	GDF7	17945
ROPN1	17946	BLOC1S3	17946	USP14	17946	RNF175	17946	PLXDC1	17946
RABL6	17947	AKAP3	17947	DNAH14	17947	HS6ST2	17947	AGFG2	17947
IRF7	17948	FPR2	17948	TNIP3	17948	PDZRN3	17948	MYH3	17948
ZBED4	17949	GSPT2	17949	ECHDC3	17949	ITIH4	17949	PDZRN3	17949
MFRP	17950	R3HDM2	17950	ALKBH2	17950	FAM71D	17950	CDX4	17950
BTNL10	17951	LRRC75A	17951	FAM83B	17951	TNFSF18	17951	GDF3	17951
RAB27B	17952	EIF4G3	17952	FGD6	17952	TM9SF1	17952	NPPA	17952
GPR150	17953	OR1L3	17953	GGN	17953	LOC100130705	17953	DDO	17953
GALNT18	17954	SAFB2	17954	TTC7B	17954	CDRT15	17954	CASP6	17954
GP5	17955	IRX3	17955	ZYG11B	17955	FPR3	17955	FGF2	17955
TNP1	17956	TGIF2LX	17956	VWA3A	17956	EXTL3	17956	ETFA	17956
GDF10	17957	MLIP	17957	ZDHHC12	17957	CHAC2	17957	HS6ST2	17957
SPINK6	17958	EFCC1	17958	TEKT1	17958	TRIM27	17958	ACAN	17958
FAM57B	17959	MT1HL1	17959	SHISA5	17959	GIPC3	17959	MYL1	17959
SAYSD1	17960	NEUROG1	17960	TMEM64	17960	RNF6	17960	ARHGEF19	17960
BTN1A1	17961	FBXL22	17961	SAMD11	17961	PATL1	17961	ATP6AP1L	17961
IFNL2	17962	POU3F2	17962	SERTAD3	17962	KRT37	17962	PDE2A	17962
NGFRAP1	17963	NME7	17963	SREBF2	17963	CPE	17963	FOXL2NB	17963
RPGR	17964	COL1A2	17964	PRICKLE3	17964	LRRC24	17964	ZNF572	17964
DESI1	17965	ZNF562	17965	NRCAM	17965	OCIAD2	17965	SMIM13	17965
NR0B1	17966	LOC400927-CSNK1E	17966	ISG20	17966	KIAA1045	17966	CEP83	17966
ITGAM	17967	B4GALNT1	17967	MXRA8	17967	SLC16A13	17967	HMOX1	17967
OR5W2	17968	PLLP	17968	ARHGAP27	17968	WFDC12	17968	TMEM132E	17968
SS18L1	17969	TOX3	17969	PFN4	17969	NHLH1	17969	NDUFC1	17969
DUSP16	17970	VSIG2	17970	TAS2R43	17970	EVA1A	17970	GLIPR1L2	17970
LOC729159	17971	MTFR1L	17971	UNCX	17971	ZSCAN29	17971	CST1	17971
NELL1	17972	SETBP1	17972	SNAP47	17972	PLOD3	17972	SMPDL3A	17972
ARNT2	17973	SIRPB1	17973	ARHGAP6	17973	SERPINF2	17973	C4orf46	17973
ACTRT1	17974	SERPINE3	17974	FKRP	17974	GPR35	17974	DCX	17974
GFRA2	17975	ECE2	17975	COL10A1	17975	SLC10A4	17975	SLC34A2	17975
TRIM8	17976	CCDC153	17976	CGA	17976	GPR32	17976	IQCJ-SCHIP1	17976
AGBL2	17977	IGSF8	17977	FAM135B	17977	LITAF	17977	FSCB	17977
RCHY1	17978	ALOX5AP	17978	UAP1L1	17978	KCNG2	17978	GYPC	17978
SCRT1	17979	FKBP4	17979	CD5	17979	HYAL1	17979	BIN2	17979
ESR2	17980	KIF12	17980	FBN3	17980	YWHAQ	17980	TCEA1	17980
LTBP3	17981	FAM179A	17981	APOC3	17981	GALR2	17981	IDH3G	17981
LENG9	17982	C9orf173	17982	C19orf48	17982	NLRP10	17982	NKAIN1	17982
FAM167A	17983	HS1BP3	17983	KLF17	17983	KIAA1468	17983	NAGK	17983
GPR15	17984	ZNF365	17984	C6orf1	17984	EPHX4	17984	ELAVL2	17984
MCEE	17985	LUZP1	17985	ACR	17985	ZNF793	17985	POLD4	17985
KCNV1	17986	CECR5	17986	BDKRB1	17986	FCAR	17986	SMARCC1	17986
TMPRSS11E	17987	ALDH3A1	17987	SCGN	17987	BAIAP2L1	17987	LRRC3C	17987
ARHGEF9	17988	RFX3	17988	OR1Q1	17988	CILP2	17988	NIPAL3	17988
CRELD2	17989	TIMM8B	17989	TCF21	17989	NIPAL3	17989	HOXA4	17989
SDC1	17990	KCTD13	17990	CDKN2D	17990	C10orf91	17990	C11orf86	17990
FCRLB	17991	RHOH	17991	COX4I2	17991	CPTP	17991	IGSF6	17991
SHISA6	17992	ADCYAP1	17992	OR5D18	17992	TRHR	17992	MYO6	17992
A4GNT	17993	OR5M8	17993	TSPAN9	17993	CPXM1	17993	NUDT6	17993
PSMD10	17994	GPR139	17994	DDIT4	17994	FAM150B	17994	ZMAT4	17994
ARL6IP5	17995	CEACAM1	17995	CCDC153	17995	NKX2-2	17995	SIT1	17995
SLC5A9	17996	MEX3A	17996	PANK2	17996	ZCCHC4	17996	ST6GALNAC5	17996
WDR45	17997	FBXL8	17997	TMCO3	17997	POLE4	17997	FGD6	17997
MROH8	17998	FJX1	17998	CSRP1	17998	SPIN2B	17998	LCA5	17998
GSKIP	17999	NOL4L	17999	CCDC102B	17999	NLK	17999	CLSTN1	17999
PDGFB	18000	C1orf189	18000	TRNP1	18000	CCDC153	18000	C3	18000
FBXO18	18001	ARF3	18001	EDRF1	18001	KIF19	18001	TIMP3	18001
OPN1LW	18002	FAM84B	18002	MRGPRG	18002	NR5A2	18002	AFF4	18002
