K562	fdr_K562	lfc_K562	NCIH2030	fdr_NCIH2030	lfc_NCIH2030	LPS141	fdr_LPS141	lfc_LPS141	 SKMEL2	fdr_SKMEL2	lfc_SKMEL2
FREM1	0.831123	0.041882	PJA1	0.565813	0.41455	NFIC	0.405491	0.51858	MLXIPL	0.998835	-2.4236
FGD6	1	0.29497	GSR	0.729953	-0.26548	MRPL11	0.870878	0.33623	RUNX3	0.998835	-2.8202
CEP170B	0.591784	0.70054	DSG4	0.820732	0.25009	CSMD3	0.841975	0.20576	DEFA6	0.998835	2.1551
KCNMB4	0.989446	-0.25275	RPS6KB1	0.669489	0.49618	ZNF561	1	0.11909	FAM135A	0.998835	7.2691
FIG4	0.135837	2.3715	COLCA2	0.669864	0.15888	PHF1	0.868594	0.047243	ALKBH2	0.998835	-3.9923
KCNJ2	0.946744	-0.29254	SLC7A6	0.652423	0.41878	RAD23B	0.912875	0.081136	C9orf62	0.998835	-3.2644
ANKS1B	0.632114	-0.36153	FAM193B	0.296115	0.83862	C16orf47	0.438332	0.43459	ISLR	0.998835	-0.78871
DNAJB3	1	-0.033757	DHX16	0.599122	0.87106	COL8A2	0.771012	0.017796	LAMP2	0.998835	-2.6634
PTTG1IP	0.458372	0.9186	OR4D6	0.557284	0.1713	OR13C5	0.972988	-0.013907	HERC5	0.998835	-0.57048
ANKRD20A3	0.489811	-0.012931	ZNF135	0.814406	0.20724	C6orf89	0.672529	0.212	HSD11B1	0.998835	-3.1508
EIF5B	0.529516	-0.42573	DNER	0.939412	0.12235	HSF1	0.536738	0.38184	PAPPA2	0.998835	-0.42607
SH3YL1	0.175784	2.1854	ADM2	0.773403	0.28687	SRP9	0.438332	0.65802	MED23	0.998835	-0.42607
TIPRL	0.282764	1.5462	CHRNA6	0.814406	0.41304	COG8	0.438332	0.96038	MAST1	0.998835	-0.42607
DCAF8	1	-0.54268	ZNF517	0.538233	1.0387	DYTN	1	0.047864	PHRF1	0.998835	-2.8448
GAP43	0.472271	1.1555	LIPE	0.992354	-0.043315	SSX1	0.374038	1.1549	TUBB4A	0.998835	-0.16511
ADGB	0.886552	0.23867	RORA	0.707911	-0.025729	DYNLRB2	1	-0.063475	SLC43A1	0.998835	-3.4196
LPIN2	1	0.26843	KIAA0101	0.755494	0.14935	APIP	0.151531	0.34648	POMT1	0.998835	3.2917
DEFB110	0.499686	0.047922	DAOA	0.340713	0.38611	OR2T4	0.912875	0.040668	CDHR4	0.998835	-3.4359
KRTAP4-2	0.636778	0.47167	A2M	0.632956	0.43081	KRT84	0.743322	0.63429	ANKRD17	0.998835	-0.4476
EPHA5	0.670563	0.02808	LGR4	0.538233	0.50308	GRIA2	0.972912	0.022076	ADPGK	0.998835	-3.0698
BCAR3	0.385499	1.0394	ZNF212	0.930027	0.18655	WDR43	0.80368	0.48466	ETV6	0.998835	-4.0567
FAM129A	1	-0.42645	WWC2	0.928412	0.039759	GNB4	0.81215	0.39914	GPR12	0.998835	-2.9617
ABCC4	1	-0.034976	EFS	0.939412	0.14056	EVI2B	0.438332	0.49937	FAM49A	0.998835	-3.8418
REG1B	0.930357	-0.050764	CA2	0.688381	0.31277	PRSS55	0.405491	0.54637	AMY1C	0.998835	-0.4476
NEURL3	0.870887	0.38984	FAM151B	0.814406	-0.15204	AFF1	0.961956	0.094426	NRXN2	0.998835	-2.4874
PCSK2	1	-0.30648	GJA9	0.975814	0.067153	PREPL	0.81215	0.097473	NSUN4	0.998835	-0.4476
HAPLN3	0.910444	0.42234	GH1	0.942303	0.082308	G2E3	0.501155	0.74646	NDC80	0.998835	-0.4476
AKAP14	0.591784	0.5418	CLCN3	0.90719	0.035792	MAP4K1	0.623293	0.35885	NOL12	0.998835	-0.4476
LIN7B	0.092692	0.67272	AP3M1	0.949902	0.13349	OR4P4	0.814643	0.27911	POLA1	0.998835	-2.5485
ACE	0.84943	0.47733	KRTAP6-3	0.837602	0.21138	FN1	0.438332	0.46335	PPA2	0.998835	-2.4236
DEFB106B	0.529516	-0.94461	CDPF1	0.85408	0.20152	ZNF469	0.963018	0.12771	OIP5	0.998835	-0.4476
IST1	0.248441	1.7539	GADD45B	0.930027	0.13718	HS3ST1	0.995695	0.071981	PGS1	0.998835	-0.31326
BLK	0.670563	-0.50382	FRY	0.553832	0.17313	MFSD7	0.354559	0.38407	LOC102723859	0.998835	-0.4476
TLK2	1	0.16861	FAM169B	0.939412	0.2914	IL7	0.865778	0.16681	MCAT	0.998835	-0.4476
ACCS	1	0.38719	SPX	0.718841	-0.0043372	PLEKHG4	0.868594	0.1359	KRT74	0.998835	-0.4476
ZBED6CL	0.875237	-0.34997	SEC63	0.950005	0.022026	IGFBP7	0.79938	0.17672	LNP1	0.998835	-3.4835
ZNF687	0.591784	0.69409	RBM33	0.520399	0.68504	TTYH1	0.258891	0.29762	MRPS6	0.998835	-0.4476
CHMP6	1	0.48064	NECAP2	0.97123	0.045542	CDHR2	0.912875	0.33114	MTDH	0.998835	-3.1704
OR2W5	0.621911	0.26621	P2RY14	0.930027	-0.15094	MZB1	1	-0.0004547	MICAL2	0.998835	-0.31326
WNT10A	0.621911	0.16859	IL27	0.968263	-0.074228	ZFP36L1	0.242584	0.33725	MMGT1	0.998835	-0.4476
FOXN1	0.75631	0.62361	SLC25A41	0.820732	0.28417	WFIKKN1	0.695945	-0.087796	TEN1	0.998835	-2.6071
ETS2	0.679082	0.21801	OR51I1	0.632765	0.47429	GYPB	1	0.065402	TFG	0.998835	8.0153
ZNF816	0.959563	0.070093	ADAMTS9	0.480501	0.68127	OLA1	0.80368	0.39734	TADA1	0.998835	2.2887
HLCS	0.319828	0.67924	TAF7L	0.971078	-0.1139	JPH3	0.389824	0.46075	TCEB1	0.998835	-0.31326
TP53TG3C	0.40075	1.2663	DDX55	0.075404	0.19874	RSL1D1	0.870878	0.11803	VMP1	0.998835	-0.31326
DAPL1	0.282547	1.6072	ALG14	0.85408	0.48402	CFHR3	0.81215	0.24849	WDR5B	0.998835	0.55526
SLC33A1	0.532726	0.99843	EIF3H	0.950005	0.095785	DNAJB8	0.610672	0.46759	TMEM99	0.998835	-0.16511
ADGRG2	0.621911	-0.42653	CFHR1	0.85003	0.10576	THAP7	0.744133	0.42355	UTP20	0.998835	-0.4476
FRAS1	0.670563	0.095016	DYNC1H1	0.915718	0.51932	P2RY13	1	-0.009599	PTGDS	0.998835	4.7449
GBP1	0.248441	1.437	SKIDA1	0.820732	0.15631	HIST1H2BB	1	-0.070709	RCC1	0.998835	-0.4476
ZNF814	0.175784	0.69895	SPINK7	0.789234	0.17462	ENPP5	0.501155	0.29796	PPIAL4A	0.998835	-0.31326
YTHDF1	0.760659	0.62175	PCNXL3	0.553832	0.32279	PRKCH	0.383287	0.46435	PPP1R9A	0.998835	-0.4476
SPRR2D	1	-0.54006	C9orf43	0.538233	0.85511	KRTAP20-3	0.972988	-0.02429	SPATA24	0.998835	-4.0032
GRAMD1C	0.987508	0.16261	ZFP36L1	0.97058	0.19949	HNRNPH2	0.849216	0.1698	ST20-MTHFS	0.998835	-0.4476
ZACN	0.282547	1.5812	PPP6R2	0.471721	0.56477	TAS2R50	0.672529	0.60569	RTEL1	0.998835	-0.4476
ZNF583	0.591784	0.91839	OAS1	0.996974	-0.31147	FUBP3	0.025611	1.5391	SLC35A2	0.998835	-0.16511
RBM34	0.864167	0.71561	ABI3	0.820732	0.21461	GOLGA5	0.410709	0.30679	INTS9	0.998835	-2.6355
NUDT8	1	-0.54552	GPSM2	0.92643	0.21063	PAF1	0.052049	0.93942	CTAGE15	0.998835	-2.939
MYO1E	0.170162	2.2245	CITED4	0.803918	0.37652	STAT3	0.897144	0.0625	CREB3L1	0.998835	-0.4476
KIDINS220	0.67007	-0.14081	ADAM28	0.530213	0.017259	ACBD6	0.912875	0.15514	CPSF3	0.998835	-0.31326
C2orf80	1	-0.41618	ZNF17	0.915718	0.084775	USP42	1	-0.1713	CYGB	0.998835	2.8822
GRIN3A	0.666297	-0.22962	INAFM1	0.930027	0.16447	PRAMEF17	1	0.024208	EFCAB9	0.998835	-2.6634
CDC34	0.316007	1.0394	C8orf48	0.467233	0.22046	OTUB2	0.01388	0.82062	EBAG9	0.998835	-0.4476
TPRX1	0.40075	1.2913	CAMSAP1	0.837954	0.15554	SYNE2	0.753803	0.45069	DDAH1	0.998835	-0.4476
NCDN	0.987508	-0.22513	TYRO3	0.837954	0.12297	ACOT13	1	0.028964	COQ10A	0.998835	7.3323
MED25	0.098422	1.8732	HCFC1R1	0.773403	0.55973	NUPR1	0.526882	0.63902	BIRC2	0.998835	-0.4476
BHLHE41	0.591784	0.79059	DALRD3	0.472418	0.79221	B4GALT7	0.438332	0.49937	BDP1	0.998835	-0.4476
SIMC1	0.700141	0.57946	TRAPPC3L	0.688381	0.52665	PLOD2	0.340971	0.78892	ASL	0.998835	-0.4476
SLC22A11	0.957193	-0.15464	SEZ6L	0.669864	0.24424	ANAPC13	0.585467	0.1751	BPI	0.998835	-0.4476
GDI1	1	-0.42271	SLC51B	0.837602	0.13682	TMEM106C	0.771012	0.41365	CENPA	0.998835	-0.31326
EN1	0.613448	0.65424	PKMYT1	0.906917	0.0054342	OR10J1	0.268868	0.79425	C21orf59	0.998835	-0.4476
ZNF812	0.621911	-0.12123	KIAA1407	0.880128	-0.013091	DNAJC28	0.771012	0.47231	C17orf74	0.998835	-0.4476
ASB18	0.406043	1.2545	CACNA1A	0.84037	0.19928	CACNB1	0.870773	0.17679	GRAMD1C	0.998835	-0.4476
KCTD6	1	-0.41893	WDR46	0.565813	0.66937	SLC48A1	0.972988	0.060424	GRWD1	0.998835	-0.4476
LAMP2	0.46436	1.1613	WFDC3	0.888742	0.17037	C11orf68	0.389824	0.35166	ELP5	0.998835	-0.11269
DHRS3	0.591784	0.36139	SEMA4F	0.652423	0.48434	NHLRC1	0.972988	-0.15049	FOXE1	0.998835	-2.8448
DNAJB4	0.621911	0.39962	CHI3L1	0.471721	0.90319	RORC	1	-0.0045768	ICE1	0.998835	-0.16511
MUC12	1	-0.10337	GSPT1	0.471721	0.73306	SLC9B2	0.501155	0.62235	IKZF3	0.998835	-0.4476
HYI	0.501385	1.0748	EIF2S2	0.891202	0.15712	TOR2A	0.359385	0.59162	GTF2E1	0.998835	-0.4476
SFTPB	0.529516	1.0041	DDX56	0.780963	0.29276	OPN5	1	-0.085222	GTF3C6	0.998835	-0.4476
DEFB105B	0.591784	0.69864	GOLGA6L1	0.895048	-0.078546	SLC14A1	1	-0.17808	ELAC2	0.998835	-3.1704
TBRG4	1	-0.15872	GTF2A2	0.159572	-0.06289	DMRT1	0.920271	-0.098122	EIF4EBP3	0.998835	2.0082
MYSM1	0.376349	0.34479	ERCC2	0.773403	-0.023458	USP4	0.963018	0.0018588	EIF3I	0.998835	0
NEU3	1	0.50141	DDTL	0.975814	0.016058	ENOX1	0.898393	-0.011877	RAD51C	0.998835	0
MLKL	0.248441	1.6854	ATIC	0.467233	1.1968	ZBTB8A	0.814643	0.42332	PSMD8	0.998835	0
GOLGA8A	1	0.052834	ATP8B4	0.942303	-0.15615	KCNA7	0.363823	0.71097	TCP1	0.998835	0
AICDA	0.874078	0.62257	ABCB7	0.810821	0.9672	OSTF1	0.80368	0.043088	VEZT	0.998835	0
KRTAP5-5	1	0.0036186	ARTN	0.896977	-0.045772	ALDH1B1	1	-0.21345	HNRNPU	0.998835	0
GTF2H2	0.178248	-0.45732	C12orf77	0.623033	0.040807	ZSCAN32	0.875008	0.20359	PSMD14	0.998835	0
FXYD1	0.282764	0.71504	CHMP6	0.949231	-0.11427	TOMM5	0.870773	0.24714	MTHFD2	0.998835	-3.5597
CDC45	0.745571	0.14546	CLP1	0.553832	0.93957	CDKN3	0.438332	0.036586	MSR1	0.998835	-2.5485
GINS3	0.910444	0.42581	C1QBP	0.873056	0.084866	FAM110D	0.865778	0.2376	MUC12	0.998835	2.2793
NOL6	0.621911	0.075264	CCL17	0.915718	-0.078546	AGPAT1	1	-0.036394	MUTYH	0.998835	-4.0672
TRIM48	1	0.33966	RPSA	0.467233	1.1968	SNRPD2	0.81215	-0.0088175	MUC20	0.998835	-0.88658
UBA2	1	-0.23976	ZNF45	0.729953	0.14502	EPRS	0.949877	-0.40666	MRPS18C	0.998835	-0.88658
TINF2	1	-0.25438	SF3A1	0.296115	0.9291	SCN3A	0.912875	-0.11806	MMP16	0.998835	-3.2461
ICA1	0.991837	0.082204	RFC3	0.941466	0.15712	KIF11	1	-0.71873	MLC1	0.998835	-0.88658
WDR55	0.63607	-0.049681	RMND1	0.80252	0.28529	TONSL	0.078379	0.34916	MMP28	0.998835	-0.16511
SDHB	0.248441	0.58099	SUPT16H	0.530213	0.60103	TNPO3	0.150073	0.65802	MRPS12	0.998835	-0.4476
COQ2	0.529516	0.92765	SIX6	0.553832	0.44916	SNAP29	0.582853	0.37161	MRGPRD	0.998835	-0.88658
NPIPB6	1	-0.44439	SPATA5L1	0.822775	0.34652	SEC23IP	0.843146	0.38701	NT5C3A	0.998835	-0.88658
STAG2	1	-0.42488	UQCRB	0.837954	0.28529	CCL8	0.992437	0.10688	NR3C2	0.998835	-0.88658
MED6	0.745571	-0.23976	UPF1	0.963167	0.15712	C11orf24	1	0.11136	ODAM	0.998835	-0.88658
TXN2	0.591784	0.0060547	SMC5	0.336988	1.1796	STAC2	0.795928	0.31697	OR5D16	0.998835	3.964
FPGS	0.511892	0.30531	ZNF343	0.707911	0.010331	BHLHE23	0.910884	0.089868	OR51L1	0.998835	-0.88658
MRPS18B	1	-0.35956	UTP15	0.617958	0.76863	KRT3	0.319705	0.58127	NOVA1	0.998835	0.84744
ZNF260	1	-0.23976	KRT18	0.138989	1.8825	MLPH	0.81215	0.20079	NDUFS7	0.998835	-3.5891
PDAP1	0.293846	1.3071	KRTAP5-5	0.796063	0.26007	C1QTNF8	1	-0.014171	NAPB	0.998835	-3.7009
NBPF14	0.894421	0.068499	UBE2I	0.814406	0.76863	B4GALNT3	0.81215	0.34349	NID1	0.998835	1.7581
CDC37	0.894421	-0.23976	UBE4B	0.837954	0.43074	PRDM11	0.80368	0.41601	NOTUM	0.998835	6.5318
TEX10	0.293846	-0.23976	HSPA5	0.520399	1.1448	FCHO1	0.796883	0.31252	NOD1	0.998835	0.041531
ALG11	0.222353	1.6689	HTR1D	0.84445	0.20698	HYAL4	1	0.089775	KCNK15	0.998835	-0.78871
NOC3L	0.621911	0.031754	IPO13	0.138989	0.55322	SZT2	1	0.022639	KCNC3	0.998835	-0.57048
FARSA	0.184046	-0.18081	PSMB2	0.997225	-0.2314	CHST3	1	-0.023555	KCNMB4	0.998835	-3.1508
QRFP	1	-0.23976	U2AF1	0.814406	0.15712	TAAR2	0.918333	0.076111	KLHL17	0.998835	-0.88658
PCDHAC2	0.083591	1.9296	TAF1B	0.582324	0.44996	TEX14	1	-0.050391	KIAA0368	0.998835	0.85945
FTSJ2	0.894421	0.69998	MEMO1	0.669489	0.67065	HAO1	0.898393	0.18086	ITCH	0.998835	-3.5145
ACTR6	0.282547	0.70458	PARS2	0.825622	0.33343	RBL2	0.81215	0.26297	HPCAL1	0.998835	-0.88658
TYMS	0.511892	0.32708	PHB	0.718841	0.93592	CCNB1	0.672529	0.24176	HOXC8	0.998835	-3.1704
NEK4	0.851439	0.87051	NME8	0.599122	0.089291	IMPA1	0.796883	0.50338	IFNLR1	0.998835	-0.57048
NUDT16	0.861671	0.81797	OR2M5	0.641119	0.50697	AZGP1	0.353558	0.74284	IQUB	0.998835	-0.88658
DYNLT1	0.384919	-0.10764	FAM168B	0.80252	0.37443	FAM181A	0.716124	0.34051	IQCA1L	0.998835	4.5653
STAU1	1	0.077747	ANKRA2	0.972901	0.019018	GSE1	0.796883	0.29921	LMNA	0.998835	-0.88658
RIN3	0.621911	0.13553	CMSS1	0.924093	0.026107	FITM1	0.81215	0.38919	LIPA	0.998835	-2.7439
PCDH10	0.003263	3.9795	ATP5I	0.975814	-0.078546	TEX10	1	0.21077	LRRIQ1	0.998835	3.6761
RCOR3	0.815295	0.21953	FAM177A1	0.669489	0.52801	TECTB	0.9857	-0.029456	MCOLN1	0.998835	-0.57048
PIGL	0.987508	0.6218	LIPH	0.684578	0.32279	MIA2	0.438332	0.57617	LYRM2	0.998835	3.3635
KCNH8	0.405018	-0.38554	KLF16	0.669489	0.55322	HYPM	0.869823	0.043315	LILRA5	0.998835	5.9674
AMT	0.613448	0.18912	FADS1	0.471721	0.68341	OR4D11	0.744133	0.42418	KRTAP13-4	0.998835	-0.88658
CD99	0.666297	0.69833	ERBB2	0.783861	0.5227	C16orf95	0.972912	-0.13272	KRTAP11-1	0.998835	-0.88658
MINOS1-NBL1	0.406043	1.2552	RNMTL1	0.969604	-0.33313	TOE1	0.625563	0.47253	KRTAP19-7	0.998835	2.6759
AVPR1A	0.910444	-0.0085318	MTFMT	0.963167	0.16169	DCHS2	0.898393	-0.069629	LGALS3BP	0.998835	0.19331
SIX1	0.591784	0.13265	APOL3	0.272056	0.65635	FOXRED2	1	-0.031362	LAMB1	0.998835	5.668
GLB1L2	0.591784	0.090864	SLC4A4	0.582324	0.37813	DAPK2	0.952234	0.11533	SFTPA2	0.998835	-0.88658
BTF3	0.248441	0.95212	SAXO1	0.296115	0.080052	MAP3K8	0.81215	0.26832	SEPTIN10	0.998835	-0.16511
NEK2	0.872224	0.38148	ITLN2	0.565813	0.20586	C20orf85	0.81215	0.33533	SGPL1	0.998835	-0.88658
ATG5	0.055676	2.6583	EPO	0.582258	0.45475	PTPN11	1	0.082134	SIKE1	0.998835	-0.31326
RMI1	0.847616	0.094118	DDX3Y	0.942303	-0.061975	ZNF727	1	0.045121	SHOX	0.998835	-0.31326
DNAH1	0.812216	0.37427	CLEC4C	0.83068	0.17717	PCCB	0.81215	0.22496	SDHAF2	0.998835	-0.78871
GRAMD4	0.22303	1.2986	TLR10	0.814406	0.42753	CEP57	0.992437	0.124	RPRD2	0.998835	0.84144
PRR20B	0.083591	2.2582	YIPF1	0.557284	0.6096	USP7	1	0.025336	RLF	0.998835	-2.7439
ACOX2	1	-0.03578	LILRB5	0.520399	0.69776	PSEN2	0.242584	0.68854	SALL1	0.998835	0.81773
ZNF653	0.092692	1.5304	CALM3	0.780963	0.31177	LPCAT4	1	0.085508	SCGB2A1	0.998835	6.5975
MARVELD3	0.282547	1.5879	FAM104B	0.85408	0.18781	SRRM4	0.858785	0.18575	SAP130	0.998835	-2.5485
MXRA7	0.529516	-0.24755	CD83	0.814406	0.060435	CTTNBP2	0.953812	0.034107	SRGAP2C	0.998835	1.0999
MYD88	0.79108	-0.54808	RABEP2	0.975814	0.035754	RNF103-CHMP3	0.049523	0.50318	SPATA31A6	0.998835	-0.88658
PAPD5	1	0.15563	PPT1	0.520399	0.58829	KCNAB1	0.438332	0.50296	STK16	0.998835	-0.88658
OR4C45	0.621911	0.52229	METTL24	0.975814	-0.001079	FXYD5	0.483535	0.36444	STX7	0.998835	-0.88658
OTOP1	1	-0.4951	ADAM32	0.848761	0.23327	CAV1	0.760573	0.58562	STPG2	0.998835	-2.5781
RRP9	0.283728	1.4807	NDST1	0.530213	0.38198	LLGL2	1	0.16404	SPA17	0.998835	3.9032
HS3ST6	0.621911	0.3047	AP5S1	0.970683	0.085219	WRAP53	0.846014	0.63578	SLC22A10	0.998835	-0.88658
RGS7BP	1	-0.52705	PLA2G4C	0.814406	0.45031	PTCHD2	0.882038	0.34514	SLC11A1	0.998835	-0.88658
ZNF836	0.929363	0.4319	HMG20B	0.982575	-0.086163	PRR36	0.743322	0.022308	SLC30A10	0.998835	-2.4874
CD300LF	0.973687	0.73984	LCE1B	0.880128	0.30218	RRM2	0.869823	0.42172	SNX31	0.998835	-0.88658
SLC38A3	0.829367	0.13284	SENP5	0.344836	0.5587	MICU3	1	0.060606	SLC35E1	0.998835	-0.88658
GLT1D1	0.895603	-0.48751	SMPD1	0.483699	0.39177	C21orf58	0.777344	0.40101	PFKP	0.998835	3.7108
SPTBN1	1	-0.21676	UBASH3B	0.296115	0.76836	KSR1	0.407591	0.74827	PDX1	0.998835	8.4173
NCOA5	1	-0.19235	CBX8	0.945754	0.026107	DAAM2	1	0.15922	PGRMC2	0.998835	0.79057
TXNDC11	0.248441	1.8108	CNNM1	0.681257	0.23921	OR52J3	0.868594	0.17712	PIK3R1	0.998835	12.154
EXTL2	1	-0.36093	METTL22	0.975814	0.054502	SCGB2A1	0.771012	0.34596	PHF3	0.998835	-0.88658
CHUK	0.803974	-0.30346	IRAK1	0.565813	0.19428	KLHL23	0.80368	0.34875	PDP1	0.998835	-0.88658
BPIFB6	0.240033	0.1944	DESI1	0.820732	0.16541	KIAA0408	0.897144	0.15026	PAM16	0.998835	-0.88658
CCDC53	0.909223	-0.10392	FICD	0.125289	0.25079	GRIA1	0.744133	-0.015376	PALM2	0.998835	-0.88658
MAP4K2	0.327015	1.3968	PODN	0.698116	0.2948	ZNF510	1	0.11146	PCDH9	0.998835	-2.939
NKAIN2	0.939409	-0.53268	NT5C	0.835824	0.40907	DNAJC2	0.963018	-0.23206	PCDHGA6	0.998835	-2.4559
TNFSF13	0.666297	0.20789	VEGFB	0.822775	-0.055043	SLC38A9	1	0.13567	PCDHB3	0.998835	-0.88658
AGR2	0.987508	-0.51997	GPC5	0.272056	0.61321	TRIM34	0.949151	0.17143	RAD54L	0.998835	-0.88658
SLFN14	0.454718	0.99206	PARP12	0.773403	0.29098	TMPRSS9	0.81215	0.53598	RAB11FIP5	0.998835	0.40887
PCGF5	0.591784	0.85177	RGS9BP	0.942303	0.053707	C22orf29	0.972988	0.17425	RBMY1F	0.998835	0.071448
NAAA	0.38173	1.0883	GOLGA8K	0.471721	1.0902	UBE2F	0.483535	0.44294	RILP	0.998835	-0.16511
NFX1	0.248441	0.84581	IL20RA	0.924093	0.17087	TIMMDC1	0.672529	0.58537	RHBDL3	0.998835	-0.31326
MED12	0.083591	1.0096	EPB41L4B	0.843888	0.25063	GJA3	1	0.15938	QRICH2	0.998835	-2.7952
AMACR	0.591784	0.75137	RBM19	0.903658	0.081711	KRT75	0.771012	0.32432	PKN3	0.998835	3.906
MPV17	1	0.24362	OSMR	0.872787	0.083423	FAM159A	0.052574	0.63199	PKMYT1	0.998835	-0.88658
FNDC3B	0.591784	0.27941	MYO18A	0.792551	0.27961	PPIP5K2	0.865778	0.31551	PLEK	0.998835	1.3806
SLC5A4	0.405018	-0.44372	SDK1	0.707911	0.33373	COL4A1	0.80368	0.087638	PPP1R42	0.998835	2.3431
RELA	0.451582	0.95387	SNAPIN	0.894106	0.11396	RPS21	0.898393	-0.10533	PNN	0.998835	-0.78871
LOC653602	0.865041	-0.027636	RIMS2	0.557284	0.22959	CDK7	0.771012	1.0089	HIST1H4D	0.998835	2.6976
KRTAP3-2	0.910444	0.32419	EVI5	0.92643	0.13866	SEZ6L2	1	0.041567	CCNA1	0.998835	-0.88658
ARRDC4	0.910444	0.29027	THEM4	0.582324	0.34951	OR5H15	1	-0.037156	CCDC92	0.998835	0.33327
CEP120	1	-0.27885	CBWD3	0.621741	0.60308	ASB5	0.814643	0.24009	CCNY	0.998835	-0.88658
DSPP	1	-0.30233	WSCD1	0.621394	0.50176	CUX1	0.796883	0.32205	CDK11A	0.998835	3.3423
GNB3	0.910444	0.34785	PRPS1	0.273778	0.58194	LIX1	1	0.0035155	CDH7	0.998835	-0.88658
RAX2	0.441842	1.2272	KLLN	0.669489	0.28253	TSACC	0.096443	0.66182	CACNA1D	0.998835	-3.3004
SLC20A2	0.591784	0.57233	GRB7	0.688381	0.31282	ADAMDEC1	0.631859	0.30147	C19orf60	0.998835	8.4815
CTRB1	0.737145	0.76715	DEPDC1	0.681257	0.44384	C12orf45	0.438332	1.0345	C19orf53	0.998835	-0.57048
ZFAT	1	0.24916	MAST4	0.955879	0.077018	SLMAP	0.898393	0.1192	C21orf140	0.998835	-0.88658
XCR1	0.944645	0.71894	TLK1	0.941466	0.0033876	ARHGAP40	0.972988	0.055099	C7orf31	0.998835	-0.57048
PLA2G12A	0.157961	0.37572	C9orf129	0.508284	0.485	ABCA7	0.487611	0.3824	C2CD4B	0.998835	-2.8448
THYN1	0.870887	0.85832	TRPM5	0.939412	0.16626	GPR19	1	0.067246	COL25A1	0.998835	-2.4559
ZNF33A	1	-0.32907	PDE11A	0.669864	0.21562	SPIN3	0.876873	0.33861	CNTN6	0.998835	0.46662
KRT34	0.485834	0.22087	NUSAP1	0.85408	0.23676	MSX1	0.80368	0.084329	COPRS	0.998835	-0.88658
APAF1	0.113714	1.9175	ENDOG	0.835824	0.21978	DNMT3L	0.972988	-0.10249	COX19	0.998835	-0.88658
DPP7	0.781855	-0.12223	USP22	0.92643	-0.12867	KIAA1804	1	0.17728	COX11	0.998835	-2.4559
GPR87	0.928774	0.7303	SNED1	0.85408	0.12252	CR1L	0.81215	0.36736	CNTF	0.998835	-0.88658
HEATR4	0.248441	1.8819	IQCA1	0.942147	0.2498	MDGA1	1	-0.025015	CHD1L	0.998835	-0.88658
C1GALT1C1L	1	-0.022112	PLAU	0.915718	0.099849	MYL5	0.406749	0.5522	CEACAM20	0.998835	-0.88658
ESRRA	0.897786	0.0955	CYP20A1	0.820732	0.1459	BCAT1	0.998427	0.21469	CLLU1	0.998835	5.5269
GLT8D1	0.175099	-0.33518	HDAC5	0.820732	-0.032059	PRSS12	0.894865	0.15605	CLUH	0.998835	0.12388
MAP3K10	1	-0.37202	ZDHHC8	0.955063	0.13739	NAGLU	0.654794	0.22109	CLRN3	0.998835	-0.88658
CCDC129	0.248441	1.6846	TYROBP	0.915718	0.11765	S1PR3	1	0.04987	ARMCX3	0.998835	-3.0905
THBS3	0.591784	0.83927	PACRG	0.930027	0.27862	ID3	0.407591	0.59574	ARL16	0.998835	-0.88658
MDGA2	1	0.037418	SP6	0.681257	0.37064	PSG7	0.912875	0.026413	ASMT	0.998835	3.5828
P3H2	1	-0.26772	RPRM	0.943566	0.25227	ZBTB32	0.13897	0.82983	ATPAF1	0.998835	-0.88658
TACC1	0.549922	0.98401	ASH2L	0.222118	1.3744	HMCES	0.912875	0.20888	ATP6V1F	0.998835	-0.78871
UBAP2L	0.532726	1.0036	ANGEL2	0.988392	-0.040913	DSC2	0.695945	0.46123	ARHGAP42	0.998835	5.5903
HELT	0.853387	0.2708	TSC22D4	0.955063	0.077227	HLA-DRB1	0.864783	-0.012918	ACTL8	0.998835	-0.88658
OR4K15	1	-0.15103	SREBF2	0.930027	0.14149	ETV2	0.802416	0.057901	AARS2	0.998835	-0.68372
CCSAP	0.613448	-0.13156	FTSJ2	0.814406	0.20934	APCDD1	0.972988	0.065421	ANXA6	0.998835	-0.88658
IFNL1	0.976654	-0.23761	TCAP	0.97541	0.092395	CYP1A1	0.666904	0.26616	ARHGAP11A	0.998835	-0.4476
IL5RA	0.670563	0.37888	GPR17	0.924093	0.26156	DDX51	1	-0.20054	APBB1IP	0.998835	-0.88658
HMBS	0.963797	0.6743	RASSF6	0.773403	0.14526	TCTEX1D1	1	0.06267	BRIP1	0.998835	-0.31326
CEP57L1	0.632928	-0.36668	TCEAL7	0.520399	0.49489	ZCCHC16	0.6978	0.37308	BRAP	0.998835	-0.31326
DNASE1L3	0.135837	1.71	SLC52A1	0.272056	0.66805	DDX43	0.454853	0.60822	C15orf40	0.998835	-0.88658
ZNF587B	0.47665	1.105	SP140	0.930027	0.049625	GPRASP1	1	0.044249	C19orf26	0.998835	-3.0698
ALX1	0.591784	0.3798	ARAF	0.814406	0.39908	SEMA6A	0.526882	0.54856	C18orf63	0.998835	-2.4559
SLC1A4	0.591784	0.882	CT47B1	0.835824	0.14791	ITFG3	0.438332	0.45837	BHMT2	0.998835	0.017717
